description,industry,level,size,line_code,value
Are answers applicable to pricing processes used for business's other products: no,total,0,total,C1700.02,7503
Are answers applicable to pricing processes used for business's other products: only sells one product,total,0,6�19 employees,C1700.03,9681
Are answers applicable to pricing processes used for business's other products: only sells one product,total,0,20�49 employees,C1700.03,1938
Are answers applicable to pricing processes used for business's other products: only sells one product,total,0,50�99 employees,C1700.03,486
Are answers applicable to pricing processes used for business's other products: only sells one product,total,0,100+ employees,C1700.03,285
Are answers applicable to pricing processes used for business's other products: only sells one product,"Agriculture, forestry, & fishing",1,total,C1700.03,1737
Are answers applicable to pricing processes used for business's other products: only sells one product,Agriculture,2,total,C1700.03,1080
Are answers applicable to pricing processes used for business's other products: only sells one product,Commercial fishing,2,total,C1700.03,30
Are answers applicable to pricing processes used for business's other products: only sells one product,Forestry & logging,2,total,C1700.03,210
Are answers applicable to pricing processes used for business's other products: only sells one product,"Agriculture, forestry, & fishing support services",2,total,C1700.03,417
Are answers applicable to pricing processes used for business's other products: only sells one product,Mining,1,total,C1700.03,33
Are answers applicable to pricing processes used for business's other products: only sells one product,Manufacturing,1,total,C1700.03,822
Are answers applicable to pricing processes used for business's other products: only sells one product,"Food, beverage, & tobacco",2,total,C1700.03,165
Are answers applicable to pricing processes used for business's other products: only sells one product,"Textile, clothing, footwear, & leather",2,total,C1700.03,36
Are answers applicable to pricing processes used for business's other products: only sells one product,Wood & paper product,2,total,C1700.03,87
Are answers applicable to pricing processes used for business's other products: only sells one product,"Printing, publishing, & recorded media",2,total,C1700.03,24
Are answers applicable to pricing processes used for business's other products: only sells one product,"Petroleum, coal, chemical, & associated product",2,total,C1700.03,39
Are answers applicable to pricing processes used for business's other products: only sells one product,Non-metallic mineral product,2,total,C1700.03,51
Are answers applicable to pricing processes used for business's other products: only sells one product,Metal product,2,total,C1700.03,216
Are answers applicable to pricing processes used for business's other products: only sells one product,Transport and industrial machinery & equipment,2,total,C1700.03,132
Are answers applicable to pricing processes used for business's other products: only sells one product,Other machinery & equipment,2,total,C1700.03,30
Are answers applicable to pricing processes used for business's other products: only sells one product,Other manufacturing,2,total,C1700.03,42
Are answers applicable to pricing processes used for business's other products: only sells one product,"Electricity, gas, water, & waste services",1,total,C1700.03,60
Are answers applicable to pricing processes used for business's other products: only sells one product,Construction,1,total,C1700.03,2265
Are answers applicable to pricing processes used for business's other products: only sells one product,Wholesale trade,1,total,C1700.03,165
Are answers applicable to pricing processes used for business's other products: only sells one product,Machinery & equipment wholesaling,2,total,C1700.03,21
Are answers applicable to pricing processes used for business's other products: only sells one product,Other wholesale trade,2,total,C1700.03,144
Are answers applicable to pricing processes used for business's other products: only sells one product,Retail trade,1,total,C1700.03,300
Are answers applicable to pricing processes used for business's other products: only sells one product,Accommodation & food services,1,total,C1700.03,1119
Are answers applicable to pricing processes used for business's other products: only sells one product,"Transport, postal, & warehousing",1,total,C1700.03,507
Are answers applicable to pricing processes used for business's other products: only sells one product,Information media & telecommunications,1,total,C1700.03,93
Are answers applicable to pricing processes used for business's other products: only sells one product,Publishing,2,total,C1700.03,54
Are answers applicable to pricing processes used for business's other products: only sells one product,Motion picture,2,total,C1700.03,27
Are answers applicable to pricing processes used for business's other products: only sells one product,Telecommunications,2,total,C1700.03,12
Are answers applicable to pricing processes used for business's other products: only sells one product,Financial & insurance services,1,total,C1700.03,186
Are answers applicable to pricing processes used for business's other products: only sells one product,Finance,2,total,C1700.03,54
Are answers applicable to pricing processes used for business's other products: only sells one product,Insurance,2,total,C1700.03,6
Are answers applicable to pricing processes used for business's other products: only sells one product,Auxiliary,2,total,C1700.03,129
Are answers applicable to pricing processes used for business's other products: only sells one product,"Rental, hiring, & real estate services",1,total,C1700.03,390
Are answers applicable to pricing processes used for business's other products: only sells one product,"Professional, scientific, & technical services",1,total,C1700.03,1734
Are answers applicable to pricing processes used for business's other products: only sells one product,Computer systems design,2,total,C1700.03,216
Are answers applicable to pricing processes used for business's other products: only sells one product,Other professional scientific,2,total,C1700.03,1524
Are answers applicable to pricing processes used for business's other products: only sells one product,Administrative & support services,1,total,C1700.03,663
Are answers applicable to pricing processes used for business's other products: only sells one product,Education & training,1,total,C1700.03,618
Are answers applicable to pricing processes used for business's other products: only sells one product,Health care & social assistance,1,total,C1700.03,1194
Are answers applicable to pricing processes used for business's other products: only sells one product,Arts & recreation services,1,total,C1700.03,183
Are answers applicable to pricing processes used for business's other products: only sells one product,Other services,1,total,C1700.03,312
Are answers applicable to pricing processes used for business's other products: only sells one product,total,0,total,C1700.03,12393
Business sales of goods or services from export: yes,total,0,6�19 employees,C1800.01,4971
Business sales of goods or services from export: yes,total,0,20�49 employees,C1800.01,1554
Business sales of goods or services from export: yes,total,0,50�99 employees,C1800.01,621
Business sales of goods or services from export: yes,total,0,100+ employees,C1800.01,531
Business sales of goods or services from export: yes,"Agriculture, forestry, & fishing",1,total,C1800.01,1083
Business sales of goods or services from export: yes,Agriculture,2,total,C1800.01,966
Business sales of goods or services from export: yes,Commercial fishing,2,total,C1800.01,12
Business sales of goods or services from export: yes,Forestry & logging,2,total,C1800.01,39
Business sales of goods or services from export: yes,"Agriculture, forestry, & fishing support services",2,total,C1800.01,69
Business sales of goods or services from export: yes,Mining,1,total,C1800.01,15
Business sales of goods or services from export: yes,Manufacturing,1,total,C1800.01,1860
Business sales of goods or services from export: yes,"Food, beverage, & tobacco",2,total,C1800.01,561
Business sales of goods or services from export: yes,"Textile, clothing, footwear, & leather",2,total,C1800.01,144
Business sales of goods or services from export: yes,Wood & paper product,2,total,C1800.01,138
Business sales of goods or services from export: yes,"Printing, publishing, & recorded media",2,total,C1800.01,45
Business sales of goods or services from export: yes,"Petroleum, coal, chemical, & associated product",2,total,C1800.01,270
Business sales of goods or services from export: yes,Non-metallic mineral product,2,total,C1800.01,27
Business sales of goods or services from export: yes,Metal product,2,total,C1800.01,189
Business sales of goods or services from export: yes,Transport and industrial machinery & equipment,2,total,C1800.01,261
Business sales of goods or services from export: yes,Other machinery & equipment,2,total,C1800.01,117
Business sales of goods or services from export: yes,Other manufacturing,2,total,C1800.01,108
Business sales of goods or services from export: yes,"Electricity, gas, water, & waste services",1,total,C1800.01,15
Business sales of goods or services from export: yes,Construction,1,total,C1800.01,243
Business sales of goods or services from export: yes,Wholesale trade,1,total,C1800.01,1356
Business sales of goods or services from export: yes,Machinery & equipment wholesaling,2,total,C1800.01,426
Business sales of goods or services from export: yes,Other wholesale trade,2,total,C1800.01,927
Business sales of goods or services from export: yes,Retail trade,1,total,C1800.01,648
Business sales of goods or services from export: yes,Accommodation & food services,1,total,C1800.01,342
Business sales of goods or services from export: yes,"Transport, postal, & warehousing",1,total,C1800.01,225
Business sales of goods or services from export: yes,Information media & telecommunications,1,total,C1800.01,114
Business sales of goods or services from export: yes,Publishing,2,total,C1800.01,63
Business sales of goods or services from export: yes,Motion picture,2,total,C1800.01,21
Business sales of goods or services from export: yes,Telecommunications,2,total,C1800.01,27
Business sales of goods or services from export: yes,Financial & insurance services,1,total,C1800.01,45
Business sales of goods or services from export: yes,Finance,2,total,C1800.01,6
Business sales of goods or services from export: yes,Insurance,2,total,C1800.01,3
Business sales of goods or services from export: yes,Auxiliary,2,total,C1800.01,39
Business sales of goods or services from export: yes,"Rental, hiring, & real estate services",1,total,C1800.01,90
Business sales of goods or services from export: yes,"Professional, scientific, & technical services",1,total,C1800.01,1110
Business sales of goods or services from export: yes,Computer systems design,2,total,C1800.01,483
Business sales of goods or services from export: yes,Other professional scientific,2,total,C1800.01,633
Business sales of goods or services from export: yes,Administrative & support services,1,total,C1800.01,129
Business sales of goods or services from export: yes,Education & training,1,total,C1800.01,90
Business sales of goods or services from export: yes,Health care & social assistance,1,total,C1800.01,99
Business sales of goods or services from export: yes,Arts & recreation services,1,total,C1800.01,24
Business sales of goods or services from export: yes,Other services,1,total,C1800.01,183
Business sales of goods or services from export: yes,total,0,total,C1800.01,7680
Business sales of goods or services from export: no,total,0,6�19 employees,C1800.02,30468
Business sales of goods or services from export: no,total,0,20�49 employees,C1800.02,6738
Business sales of goods or services from export: no,total,0,50�99 employees,C1800.02,1821
Business sales of goods or services from export: no,total,0,100+ employees,C1800.02,1383
Business sales of goods or services from export: no,"Agriculture, forestry, & fishing",1,total,C1800.02,2664
Business sales of goods or services from export: no,Agriculture,2,total,C1800.02,1482
Business sales of goods or services from export: no,Commercial fishing,2,total,C1800.02,36
Business sales of goods or services from export: no,Forestry & logging,2,total,C1800.02,234
Business sales of goods or services from export: no,"Agriculture, forestry, & fishing support services",2,total,C1800.02,915
Business sales of goods or services from export: no,Mining,1,total,C1800.02,96
Business sales of goods or services from export: no,Manufacturing,1,total,C1800.02,3621
Business sales of goods or services from export: no,"Food, beverage, & tobacco",2,total,C1800.02,681
Business sales of goods or services from export: no,"Textile, clothing, footwear, & leather",2,total,C1800.02,123
Business sales of goods or services from export: no,Wood & paper product,2,total,C1800.02,393
Business sales of goods or services from export: no,"Printing, publishing, & recorded media",2,total,C1800.02,165
Business sales of goods or services from export: no,"Petroleum, coal, chemical, & associated product",2,total,C1800.02,180
Business sales of goods or services from export: no,Non-metallic mineral product,2,total,C1800.02,180
Business sales of goods or services from export: no,Metal product,2,total,C1800.02,813
Business sales of goods or services from export: no,Transport and industrial machinery & equipment,2,total,C1800.02,678
Business sales of goods or services from export: no,Other machinery & equipment,2,total,C1800.02,123
Business sales of goods or services from export: no,Other manufacturing,2,total,C1800.02,282
Business sales of goods or services from export: no,"Electricity, gas, water, & waste services",1,total,C1800.02,192
Business sales of goods or services from export: no,Construction,1,total,C1800.02,6945
Business sales of goods or services from export: no,Wholesale trade,1,total,C1800.02,1845
Business sales of goods or services from export: no,Machinery & equipment wholesaling,2,total,C1800.02,528
Business sales of goods or services from export: no,Other wholesale trade,2,total,C1800.02,1314
Business sales of goods or services from export: no,Retail trade,1,total,C1800.02,4347
Business sales of goods or services from export: no,Accommodation & food services,1,total,C1800.02,6393
Business sales of goods or services from export: no,"Transport, postal, & warehousing",1,total,C1800.02,1440
Business sales of goods or services from export: no,Information media & telecommunications,1,total,C1800.02,315
Business sales of goods or services from export: no,Publishing,2,total,C1800.02,105
Business sales of goods or services from export: no,Motion picture,2,total,C1800.02,114
Business sales of goods or services from export: no,Telecommunications,2,total,C1800.02,93
Business sales of goods or services from export: no,Financial & insurance services,1,total,C1800.02,603
Business sales of goods or services from export: no,Finance,2,total,C1800.02,186
Business sales of goods or services from export: no,Insurance,2,total,C1800.02,33
Business sales of goods or services from export: no,Auxiliary,2,total,C1800.02,384
Business sales of goods or services from export: no,"Rental, hiring, & real estate services",1,total,C1800.02,921
Business sales of goods or services from export: no,"Professional, scientific, & technical services",1,total,C1800.02,3906
Business sales of goods or services from export: no,Computer systems design,2,total,C1800.02,468
Business sales of goods or services from export: no,Other professional scientific,2,total,C1800.02,3438
Business sales of goods or services from export: no,Administrative & support services,1,total,C1800.02,1620
Business sales of goods or services from export: no,Education & training,1,total,C1800.02,1044
Business sales of goods or services from export: no,Health care & social assistance,1,total,C1800.02,2733
Business sales of goods or services from export: no,Arts & recreation services,1,total,C1800.02,513
Business sales of goods or services from export: no,Other services,1,total,C1800.02,1212
Business sales of goods or services from export: no,total,0,total,C1800.02,40416
Is NZ dollar price of main product the same across different countries: yes,total,0,6�19 employees,C2000.01,2796
Is NZ dollar price of main product the same across different countries: yes,total,0,20�49 employees,C2000.01,936
Is NZ dollar price of main product the same across different countries: yes,total,0,50�99 employees,C2000.01,348
Is NZ dollar price of main product the same across different countries: yes,total,0,100+ employees,C2000.01,288
Is NZ dollar price of main product the same across different countries: yes,"Agriculture, forestry, & fishing",1,total,C2000.01,474
Is NZ dollar price of main product the same across different countries: yes,Agriculture,2,total,C2000.01,414
Is NZ dollar price of main product the same across different countries: yes,Commercial fishing,2,total,C2000.01,9
Is NZ dollar price of main product the same across different countries: yes,Forestry & logging,2,total,C2000.01,12
Is NZ dollar price of main product the same across different countries: yes,"Agriculture, forestry, & fishing support services",2,total,C2000.01,39
Is NZ dollar price of main product the same across different countries: yes,Mining,1,total,C2000.01,12
Is NZ dollar price of main product the same across different countries: yes,Manufacturing,1,total,C2000.01,1050
Is NZ dollar price of main product the same across different countries: yes,"Food, beverage, & tobacco",2,total,C2000.01,255
Is NZ dollar price of main product the same across different countries: yes,"Textile, clothing, footwear, & leather",2,total,C2000.01,99
Is NZ dollar price of main product the same across different countries: yes,Wood & paper product,2,total,C2000.01,78
Is NZ dollar price of main product the same across different countries: yes,"Printing, publishing, & recorded media",2,total,C2000.01,30
Is NZ dollar price of main product the same across different countries: yes,"Petroleum, coal, chemical, & associated product",2,total,C2000.01,144
Is NZ dollar price of main product the same across different countries: yes,Non-metallic mineral product,2,total,C2000.01,18
Is NZ dollar price of main product the same across different countries: yes,Metal product,2,total,C2000.01,126
Is NZ dollar price of main product the same across different countries: yes,Transport and industrial machinery & equipment,2,total,C2000.01,171
Is NZ dollar price of main product the same across different countries: yes,Other machinery & equipment,2,total,C2000.01,66
Is NZ dollar price of main product the same across different countries: yes,Other manufacturing,2,total,C2000.01,66
Is NZ dollar price of main product the same across different countries: yes,"Electricity, gas, water, & waste services",1,total,C2000.01,9
Is NZ dollar price of main product the same across different countries: yes,Construction,1,total,C2000.01,111
Is NZ dollar price of main product the same across different countries: yes,Wholesale trade,1,total,C2000.01,966
Is NZ dollar price of main product the same across different countries: yes,Machinery & equipment wholesaling,2,total,C2000.01,333
Is NZ dollar price of main product the same across different countries: yes,Other wholesale trade,2,total,C2000.01,630
Is NZ dollar price of main product the same across different countries: yes,Retail trade,1,total,C2000.01,378
Is NZ dollar price of main product the same across different countries: yes,Accommodation & food services,1,total,C2000.01,162
Is NZ dollar price of main product the same across different countries: yes,"Transport, postal, & warehousing",1,total,C2000.01,123
Is NZ dollar price of main product the same across different countries: yes,Information media & telecommunications,1,total,C2000.01,51
Is NZ dollar price of main product the same across different countries: yes,Publishing,2,total,C2000.01,21
Is NZ dollar price of main product the same across different countries: yes,Motion picture,2,total,C2000.01,15
Is NZ dollar price of main product the same across different countries: yes,Telecommunications,2,total,C2000.01,12
Is NZ dollar price of main product the same across different countries: yes,Financial & insurance services,1,total,C2000.01,24
Is NZ dollar price of main product the same across different countries: yes,Finance,2,total,C2000.01,3
Is NZ dollar price of main product the same across different countries: yes,Insurance,2,total,C2000.01,3
Is NZ dollar price of main product the same across different countries: yes,Auxiliary,2,total,C2000.01,21
Is NZ dollar price of main product the same across different countries: yes,"Rental, hiring, & real estate services",1,total,C2000.01,63
Is NZ dollar price of main product the same across different countries: yes,"Professional, scientific, & technical services",1,total,C2000.01,642
Is NZ dollar price of main product the same across different countries: yes,Computer systems design,2,total,C2000.01,267
Is NZ dollar price of main product the same across different countries: yes,Other professional scientific,2,total,C2000.01,378
Is NZ dollar price of main product the same across different countries: yes,Administrative & support services,1,total,C2000.01,75
Is NZ dollar price of main product the same across different countries: yes,Education & training,1,total,C2000.01,45
Is NZ dollar price of main product the same across different countries: yes,Health care & social assistance,1,total,C2000.01,60
Is NZ dollar price of main product the same across different countries: yes,Arts & recreation services,1,total,C2000.01,24
Is NZ dollar price of main product the same across different countries: yes,Other services,1,total,C2000.01,96
Is NZ dollar price of main product the same across different countries: yes,total,0,total,C2000.01,4368
Is NZ dollar price of main product the same across different countries: no,total,0,6�19 employees,C2000.02,2193
Is NZ dollar price of main product the same across different countries: no,total,0,20�49 employees,C2000.02,624
Is NZ dollar price of main product the same across different countries: no,total,0,50�99 employees,C2000.02,273
Is NZ dollar price of main product the same across different countries: no,total,0,100+ employees,C2000.02,249
Is NZ dollar price of main product the same across different countries: no,"Agriculture, forestry, & fishing",1,total,C2000.02,627
Is NZ dollar price of main product the same across different countries: no,Agriculture,2,total,C2000.02,576
Is NZ dollar price of main product the same across different countries: no,Commercial fishing,2,total,C2000.02,3
Is NZ dollar price of main product the same across different countries: no,Forestry & logging,2,total,C2000.02,24
Is NZ dollar price of main product the same across different countries: no,"Agriculture, forestry, & fishing support services",2,total,C2000.02,27
Is NZ dollar price of main product the same across different countries: no,Mining,1,total,C2000.02,9
Is NZ dollar price of main product the same across different countries: no,Manufacturing,1,total,C2000.02,807
Is NZ dollar price of main product the same across different countries: no,"Food, beverage, & tobacco",2,total,C2000.02,306
Is NZ dollar price of main product the same across different countries: no,"Textile, clothing, footwear, & leather",2,total,C2000.02,39
Is NZ dollar price of main product the same across different countries: no,Wood & paper product,2,total,C2000.02,63
Is NZ dollar price of main product the same across different countries: no,"Printing, publishing, & recorded media",2,total,C2000.02,18
Is NZ dollar price of main product the same across different countries: no,"Petroleum, coal, chemical, & associated product",2,total,C2000.02,126
Is NZ dollar price of main product the same across different countries: no,Non-metallic mineral product,2,total,C2000.02,9
Is NZ dollar price of main product the same across different countries: no,Metal product,2,total,C2000.02,63
Is NZ dollar price of main product the same across different countries: no,Transport and industrial machinery & equipment,2,total,C2000.02,90
Is NZ dollar price of main product the same across different countries: no,Other machinery & equipment,2,total,C2000.02,51
Is NZ dollar price of main product the same across different countries: no,Other manufacturing,2,total,C2000.02,42
Is NZ dollar price of main product the same across different countries: no,"Electricity, gas, water, & waste services",1,total,C2000.02,3
Is NZ dollar price of main product the same across different countries: no,Construction,1,total,C2000.02,132
Is NZ dollar price of main product the same across different countries: no,Wholesale trade,1,total,C2000.02,420
Is NZ dollar price of main product the same across different countries: no,Machinery & equipment wholesaling,2,total,C2000.02,96
Is NZ dollar price of main product the same across different countries: no,Other wholesale trade,2,total,C2000.02,321
Is NZ dollar price of main product the same across different countries: no,Retail trade,1,total,C2000.02,270
Is NZ dollar price of main product the same across different countries: no,Accommodation & food services,1,total,C2000.02,180
Is NZ dollar price of main product the same across different countries: no,"Transport, postal, & warehousing",1,total,C2000.02,102
Is NZ dollar price of main product the same across different countries: no,Information media & telecommunications,1,total,C2000.02,63
Is NZ dollar price of main product the same across different countries: no,Publishing,2,total,C2000.02,42
Is NZ dollar price of main product the same across different countries: no,Motion picture,2,total,C2000.02,6
Is NZ dollar price of main product the same across different countries: no,Telecommunications,2,total,C2000.02,15
Is NZ dollar price of main product the same across different countries: no,Financial & insurance services,1,total,C2000.02,18
Is NZ dollar price of main product the same across different countries: no,Finance,2,total,C2000.02,3
Is NZ dollar price of main product the same across different countries: no,Insurance,2,total,C2000.02,0
Is NZ dollar price of main product the same across different countries: no,Auxiliary,2,total,C2000.02,18
Is NZ dollar price of main product the same across different countries: no,"Rental, hiring, & real estate services",1,total,C2000.02,30
Is NZ dollar price of main product the same across different countries: no,"Professional, scientific, & technical services",1,total,C2000.02,474
Is NZ dollar price of main product the same across different countries: no,Computer systems design,2,total,C2000.02,222
Is NZ dollar price of main product the same across different countries: no,Other professional scientific,2,total,C2000.02,255
Is NZ dollar price of main product the same across different countries: no,Administrative & support services,1,total,C2000.02,42
Is NZ dollar price of main product the same across different countries: no,Education & training,1,total,C2000.02,57
Is NZ dollar price of main product the same across different countries: no,Health care & social assistance,1,total,C2000.02,39
Is NZ dollar price of main product the same across different countries: no,Arts & recreation services,1,total,C2000.02,0
Is NZ dollar price of main product the same across different countries: no,Other services,1,total,C2000.02,57
Is NZ dollar price of main product the same across different countries: no,total,0,total,C2000.02,3339
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",total,0,6�19 employees,C2101.01,330
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",total,0,20�49 employees,C2101.01,75
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",total,0,50�99 employees,C2101.01,39
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",total,0,100+ employees,C2101.01,36
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Agriculture, forestry, & fishing",1,total,C2101.01,9
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Agriculture,2,total,C2101.01,6
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Commercial fishing,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Forestry & logging,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Agriculture, forestry, & fishing support services",2,total,C2101.01,3
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Mining,1,total,C2101.01,3
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Manufacturing,1,total,C2101.01,54
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Food, beverage, & tobacco",2,total,C2101.01,9
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Textile, clothing, footwear, & leather",2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Wood & paper product,2,total,C2101.01,12
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Printing, publishing, & recorded media",2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Petroleum, coal, chemical, & associated product",2,total,C2101.01,24
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Non-metallic mineral product,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Metal product,2,total,C2101.01,6
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Transport and industrial machinery & equipment,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Other machinery & equipment,2,total,C2101.01,9
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Other manufacturing,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Electricity, gas, water, & waste services",1,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Construction,1,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Wholesale trade,1,total,C2101.01,57
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Machinery & equipment wholesaling,2,total,C2101.01,12
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Other wholesale trade,2,total,C2101.01,42
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Retail trade,1,total,C2101.01,3
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Accommodation & food services,1,total,C2101.01,60
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Transport, postal, & warehousing",1,total,C2101.01,45
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Information media & telecommunications,1,total,C2101.01,18
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Publishing,2,total,C2101.01,12
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Motion picture,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Telecommunications,2,total,C2101.01,3
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Financial & insurance services,1,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Finance,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Insurance,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Auxiliary,2,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Rental, hiring, & real estate services",1,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important","Professional, scientific, & technical services",1,total,C2101.01,171
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Computer systems design,2,total,C2101.01,57
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Other professional scientific,2,total,C2101.01,117
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Administrative & support services,1,total,C2101.01,9
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Education & training,1,total,C2101.01,15
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Health care & social assistance,1,total,C2101.01,33
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Arts & recreation services,1,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",Other services,1,total,C2101.01,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: not important",total,0,total,C2101.01,480
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",total,0,6�19 employees,C2101.02,543
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",total,0,20�49 employees,C2101.02,189
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",total,0,50�99 employees,C2101.02,78
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",total,0,100+ employees,C2101.02,81
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Agriculture, forestry, & fishing",1,total,C2101.02,198
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Agriculture,2,total,C2101.02,186
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Commercial fishing,2,total,C2101.02,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Forestry & logging,2,total,C2101.02,6
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Agriculture, forestry, & fishing support services",2,total,C2101.02,9
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Mining,1,total,C2101.02,3
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Manufacturing,1,total,C2101.02,252
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Food, beverage, & tobacco",2,total,C2101.02,90
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Textile, clothing, footwear, & leather",2,total,C2101.02,15
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Wood & paper product,2,total,C2101.02,12
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Printing, publishing, & recorded media",2,total,C2101.02,12
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Petroleum, coal, chemical, & associated product",2,total,C2101.02,45
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Non-metallic mineral product,2,total,C2101.02,3
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Metal product,2,total,C2101.02,21
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Transport and industrial machinery & equipment,2,total,C2101.02,15
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Other machinery & equipment,2,total,C2101.02,18
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Other manufacturing,2,total,C2101.02,18
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Electricity, gas, water, & waste services",1,total,C2101.02,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Construction,1,total,C2101.02,51
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Wholesale trade,1,total,C2101.02,126
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Machinery & equipment wholesaling,2,total,C2101.02,15
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Other wholesale trade,2,total,C2101.02,111
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Retail trade,1,total,C2101.02,6
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Accommodation & food services,1,total,C2101.02,0
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important","Transport, postal, & warehousing",1,total,C2101.02,24
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Information media & telecommunications,1,total,C2101.02,33
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Publishing,2,total,C2101.02,18
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Motion picture,2,total,C2101.02,6
"When determining differences in NZ dollar price across countries, importance of exchange rate movements: moderately important",Telecommunications,2,total,C2101.02,6
